ds,yhat,yhat_lower,yhat_upper,row_type,horizon_day
2023-10-16,93.14588255785877,91.11300664257273,95.18876510117049,fitted,0
2023-10-17,86.1535878107033,84.15050264812749,88.34841611115448,fitted,0
2023-10-18,75.74516786260563,73.64444976999819,77.95917539981643,fitted,0
2023-10-19,68.51247219866612,66.41042013866975,70.61973669373901,fitted,0
2023-10-20,71.813738013628,69.73214062496035,73.93305762193121,fitted,0
2023-10-23,91.2311778030115,89.22322143538315,93.36109552235506,fitted,0
2023-10-24,84.09992599519413,82.11777003772099,86.30427764571101,fitted,0
2023-10-25,74.48752570032546,72.204713344178,76.63717887066846,fitted,0
2023-10-26,67.98499292604596,65.79277971704062,70.10036990981871,fitted,0
2023-10-27,71.53412999988075,69.42898280781625,73.64546195091697,fitted,0
2023-10-30,91.79003865072856,89.70418750136947,93.94365032924956,fitted,0
2023-10-31,85.48898160799877,83.28411905229939,87.41299204537691,fitted,0
2023-11-01,76.43544898368788,74.31492868137242,78.4183228785209,fitted,0
2023-11-02,69.63423638104956,67.49686287837224,71.65399805453828,fitted,0
2023-11-03,72.36046016436288,70.34149395362346,74.49584582474851,fitted,0
2023-11-06,94.42737930071709,92.41405935970357,96.61642667624524,fitted,0
2023-11-07,87.76418813251576,85.61688460173306,89.78128172969397,fitted,0
2023-11-08,77.55725013154742,75.41771472448195,79.75704381431088,fitted,0
2023-11-09,70.4119557392597,68.41262223988811,72.58165926444853,fitted,0
2023-11-10,73.7867588461389,71.77328497900031,75.97458881608195,fitted,0
2023-11-13,93.14670596606426,91.1059771671304,95.26184408445984,fitted,0
2023-11-14,86.35754246447539,84.31392331309547,88.45680890545,fitted,0
2023-11-15,76.8482372042794,74.69033090908863,78.8694575661024,fitted,0
2023-11-16,69.76077020857014,67.6673051393716,71.84256630474488,fitted,0
2023-11-17,72.641216762327,70.58407829994151,74.64506089682817,fitted,0
2023-11-20,95.72186359589068,93.545812425658,97.8887343273348,fitted,0
2023-11-21,88.49379649187965,86.334798246077,90.38269137348315,fitted,0
2023-11-22,77.31374733421146,75.31436334470604,79.41020534450355,fitted,0
2023-11-23,69.1229718213846,66.99261482697014,71.34364361676744,fitted,0
2023-11-24,72.14395780764193,70.00214806919439,74.2027414643268,fitted,0
2023-11-27,95.90656549783792,93.84002115301712,97.96648983206292,fitted,0
2023-11-28,88.57037070754525,86.38132324262465,90.78226622779205,fitted,0
2023-11-29,77.58485945832561,75.60446763151958,79.59026673422734,fitted,0
2023-11-30,69.96342952325611,67.96989854594936,72.05919428594731,fitted,0
